cap_est_ah,energy_wh,v_mean,v_min,v_max,v_std,i_mean,temp_mean,temp_max,temp_rise,discharge_time_s,time_to_3_5V_s,battery_id,cycle,ambient_temperature,capacity_ah,cap_est_ah_rel,energy_wh_rel,discharge_time_s_rel,time_to_3_5V_s_rel,v_mean_rel,soh,health_status
1.861951950125798,6.6080433062328,3.5298286688693397,2.612467347907089,4.191491807505295,0.23655823616646718,-1.8187019641679727,32.572328114029,38.98218133148803,14.652147445917485,3690.234,2058.641,B0005,1,24,1.8564874208181572,1.0054637239878075,1.0033965604310953,1.0048715479813437,0.9730361943727053,0.997882165411667,1.0055029091401708,Healthy
1.8518340400596853,6.585674664256121,3.5373201277859714,2.587208728940726,4.189773213846608,0.23536612087025036,-1.8175598506612867,32.72523522519307,39.03339796678704,14.335646031057717,3672.344,2115.688,B0005,2,24,1.846327249719927,1.0,1.0,1.0,1.0,1.0,1.0,Healthy
1.84079871703338,6.554965867175504,3.5437367282719,2.65191689384378,4.188186735991303,0.228111087522163,-1.8164865418840956,32.64286193755933,38.81879668981741,14.084530525863013,3651.641,2116.094,B0005,3,24,1.835349194223408,0.9940408682486743,0.995337030957923,0.9943624562404829,1.000191899750814,1.0018139722315562,0.9940541117517577,Healthy
1.8406884921096607,6.554179094191077,3.5436661072601456,2.592947964776547,4.188461118855572,0.2333465027689954,-1.8255891938692528,32.51487646204882,38.7623045063458,14.108068037117349,3631.563,2135.578,B0005,4,24,1.8352625275821128,0.9939813462173611,0.9952175636254874,0.9888951035088216,1.009401197151943,1.0017940076795215,0.9940071717299885,Healthy
1.84008683771641,6.551424686976359,3.5423432526672167,2.547419651124539,4.188298524761055,0.2373009622577082,-1.8261139590277584,32.38234901543077,38.66539257343368,14.140595614085552,3629.172,2134.516,B0005,5,24,1.8346455082120416,0.9936564497200318,0.9947993214020039,0.9882440207126565,1.0088992327791244,1.0014200368357358,0.9936729842937337,Healthy
1.841099358222776,6.556834558037188,3.5413347346347575,2.5209480504077413,4.188815807948604,0.23993226167114742,-1.8168108743168805,32.43418218230641,38.75169504640032,14.229397669472458,3652.281,2134.797,B0005,6,24,1.8356616600675493,0.9942032160524691,0.9956207818197483,0.9945367318530072,1.0090320500943428,1.0011349289020384,0.9942233481881418,Healthy
1.8405862545426583,6.556296423574652,3.5410250495075215,2.487927319492314,4.18839163793879,0.24313957024653737,-1.816791144707133,32.480416444757985,38.8207012322275,14.235822946429689,3650.828,2152.656,B0005,7,24,1.8351461429226603,0.9939261374001611,0.9955390689368668,0.9941410717514481,1.0174732758327314,1.0010473809515987,0.9939441359602081,Healthy
1.8311541366170079,6.534297704923956,3.554133296801584,2.665204904745877,4.188927891511958,0.2279099167513015,-1.8443412120754061,32.41046186109587,38.51713023385634,13.803501434576546,3572.453,2155.531,B0005,8,24,1.8257567905665535,0.988832744730186,0.992198679413817,0.9727991168583335,1.018832171851426,1.0047530809788867,0.9888587144253578,Healthy
1.8302233813202418,6.528331399404688,3.5529355991467955,2.603858472633368,4.189029250882121,0.23306799549076232,-1.853972745505648,32.3461408313,38.526267904657,13.891056271332307,3550.594,2153.687,B0005,9,24,1.8247738529891333,0.9883301320356186,0.9912927273552298,0.9668467877736944,1.0179605877615223,1.0044144919873559,0.98832633990856,Healthy
1.8299994933417423,6.5257563886686665,3.5512057319376997,2.552853984885676,4.189223427076418,0.23735414167102423,-1.853589933851096,32.27679750791685,38.52698128472781,13.954923620632254,3551.25,2154.079,B0005,10,24,1.824613268496936,0.9882092313643617,0.9909017255418548,0.9670254202765318,1.0181458702795498,1.003925458723019,0.9882393648112572,Healthy
1.8299980558998383,6.521747521530387,3.549292319740949,2.472448301852732,4.188916055911241,0.24374302251465715,-1.863380178294828,32.15709350345252,38.54143406601644,14.104718071788671,3530.25,2154.453,B0005,11,24,1.8246195526864504,0.9882084551382676,0.9902930001883179,0.9613070017405777,1.0183226449268512,1.0033845373114338,0.9882427684275529,Healthy
1.8195979721105182,6.49676476807927,3.559759220648976,2.64956413267546,4.189876247266316,0.22947624709797806,-1.8729688102878943,32.36407129853099,38.52197451768004,13.777646003780443,3491.016,2154.657,B0005,12,24,1.814201935767392,0.9825923558743266,0.9864995007027281,0.950623362081548,1.018419067461743,1.0063435290141662,0.9826004225646303,Healthy
1.8190998479483713,6.491131883573366,3.558081969139198,2.5724981777366227,4.189286794768804,0.23524097823363496,-1.8826095043160835,32.3181954403762,38.582485834057856,13.845846734525495,3470.281,2154.719,B0005,13,24,1.8137521577549052,0.982323366239526,0.9856441768683339,0.9449771045414046,1.0184483723497983,1.005869370202075,0.9823568156891129,Healthy
1.8187990098955567,6.486382606675259,3.555692244172496,2.5249886697730286,4.188837765892728,0.23855345527869287,-1.8825367876363654,32.15709029211502,38.52029413487392,14.072310729819861,3470.0,2135.422,B0005,14,24,1.8134404914735824,0.9821609121284627,0.9849230241937441,0.9449005866552806,1.0093274622723198,1.0051937952243026,0.9821880123085801,Healthy
1.8079631905409188,6.455973630894754,3.562746818017503,2.694621861688723,4.189110301768517,0.22453375718322335,-1.8817935155260215,32.044070003146096,38.21358592965045,13.741466689435129,3450.297,2135.359,B0005,15,24,1.8025980036306504,0.9763095133960533,0.9803055814364288,0.9395353485403328,1.0092976847247797,1.0071881224523058,0.9763155496427245,Healthy
1.8074753229188163,6.450452466629498,3.5614521756489204,2.64010141737067,4.18921207304098,0.22859181141516383,-1.8921861285036712,31.931593674911532,38.1983618706913,13.872944741868075,3429.407,2134.563,B0005,16,24,1.80210690024615,0.9760460623461489,0.9794672217319594,0.9338468836252813,1.0089214477749082,1.0068221272011515,0.9760495602930169,Healthy
1.8079745895831807,6.448874900067283,3.5603420474985823,2.573903509838096,4.188899969428112,0.2336151721811594,-1.9027629207037406,31.941655359029298,38.31926916027133,13.956675803360433,3409.484,2117.031,B0005,17,24,1.802579500826209,0.976315668938081,0.9792276765611697,0.9284217382685281,1.0006347816880372,1.0065082940986234,0.9763055282315992,Healthy
1.8084160844930315,6.446544403990695,3.5591189041401865,2.4942396831720126,4.188779799856791,0.23939502329865414,-1.9133470605822436,31.965008645476725,38.4787542519308,14.096334329174777,3390.422,2116.844,B0005,18,24,1.8030683142834096,0.9765540784825111,0.978873803010562,0.9232310480717493,1.0005463943643864,1.0061625116095612,0.9765702773205133,Healthy
1.8081314276923426,6.4434664874406025,3.557886771846508,2.4556793246645583,4.189272591516219,0.24211638521908152,-1.9131602105481538,31.966241678512723,38.54659017774874,14.185140915471983,3390.281,2116.219,B0005,19,24,1.802777624719604,0.9764003623316406,0.9784064375989666,0.923192652975865,1.0002509821864094,1.0058141879495113,0.9764128352615014,Healthy
1.8524143699757372,6.6104422552219635,3.5520375235511907,2.632142800798914,4.187614060563439,0.23477782948432763,-1.8553455745575975,32.37143341978575,38.44749852224995,13.888783779296418,3591.734,2192.437,B0005,20,24,1.8470259949329195,1.0003133811688834,1.0037608281958217,0.9780494419912731,1.0362761427961023,1.0041606061180646,1.000378451443588,Healthy
1.852794186676616,6.610471273292621,3.5525668436897124,2.5027764692056795,4.187628781108399,0.2448173475304705,-1.8746995273150975,32.70024990461686,38.992275791716615,14.070169457225294,3552.297,2211.641,B0005,21,24,1.847417311283644,1.0005184841601138,1.003765234436964,0.9673105242863959,1.0453530955414976,1.0043102448613506,1.0005903945597305,Healthy
1.8415701884947469,6.574049356251551,3.5567940383270398,2.617507742871704,4.187447226312926,0.23373891268927044,-1.8738272127883846,32.32266411829938,38.51424197364312,13.948275574115005,3531.578,2193.657,B0005,22,24,1.8361774213478947,0.994457466844811,0.9982347582294543,0.9616686236365656,1.0368527873675135,1.0055052723071625,0.9945026926436947,Healthy
1.8311634883197176,6.53874662185281,3.5614100044534203,2.694074478000972,4.187344026387161,0.22544994683917527,-1.883193546754683,31.98795810666763,38.165816144899125,13.949234677873736,3492.907,2173.625,B0005,23,24,1.825780747577624,0.9888377946982218,0.9928742240095743,0.9511382920554284,1.027384472568734,1.0068102054089538,0.9888716899209391,Healthy
1.8305087381422454,6.531865203671728,3.5566107947817986,2.6237674644021887,4.187438187636325,0.23129045070961002,-1.873239184822504,31.894456524691385,38.16526203587147,14.110271378053902,3511.594,2154.359,B0005,24,24,1.8251136435078368,0.9884842262016349,0.9918293169147202,0.9562268676354938,1.0182782149352834,1.0054534693776505,0.9885103758202626,Healthy
1.8309385444155313,6.5272147010565496,3.5586742170266272,2.5010798299873738,4.18774138117799,0.23910922447932814,-1.9139593751505897,31.78039681801023,38.27549578575718,14.24671755143018,3431.9370000000054,2154.9689999999973,B0005,25,24,1.825581504220376,0.9887163238216096,0.9911231625945837,0.9345358169060429,1.0185665372209878,1.0060367986128589,0.9887637765717329,Healthy
1.8193916427413335,6.494547007048314,3.564103182686904,2.68499881852498,4.188261122540052,0.22432330178039336,-1.9030532722310995,31.688747146342205,37.98216079918311,14.043746186110472,3431.125,2134.938,B0005,26,24,1.814031127508391,0.9824809369432985,0.9861627453748354,0.9343147047226512,1.0090986950816945,1.00757156659092,0.9825079101137487,Healthy
1.820129694529988,6.488640545364094,3.559588063594272,2.547109116468133,4.187338767288234,0.23463255580240505,-1.9134590742247914,31.596747992569153,38.11100191887773,14.299467731360227,3412.406,2136.39,B0005,27,24,1.8147691941158937,0.9828794887425898,0.9852658802873027,0.9292174153619596,1.0097849966535708,1.0062951429341618,0.9829076586456597,Healthy
1.8193301668811832,6.481521206196482,3.556833231052199,2.471314764334132,4.187560306288175,0.24012901309651455,-1.9136209099025532,31.565586498787077,38.18831137948753,14.433546048604107,3410.688,2115.953,B0005,28,24,1.813969388710352,0.9824477396595137,0.9841848461441719,0.9287495942645896,1.0001252547634623,1.0055163520861317,0.9824744714056063,Healthy
1.8081079539642115,6.450808024623607,3.5624410850948944,2.6613903306108773,4.18805176248713,0.22531026238437576,-1.9025819745719061,31.59124667045208,37.99854111908584,14.200857694423881,3410.718,2116.109,B0005,29,24,1.802765665167823,0.9763876863965281,0.979521211340046,0.9287577634339266,1.0001989896430852,1.0071016917896674,0.9764063577793634,Healthy
1.809387285628278,6.448584173388756,3.5591407106855666,2.541762355407921,4.187667484260542,0.23438290818377094,-1.9130621638638965,31.603485399391182,38.194201649765226,14.392900662846777,3392.719,2099.141,B0005,30,24,1.804077040117352,0.9770785321399323,0.9791835312467793,0.9238565341373248,0.9921789035056209,1.0061686763174733,0.9771166191643523,Healthy
